1
5
Y 1 5
X 3 2
Y 3 6
X 6 2
Y 4 6
X 3 1
Y 1 5
X 3 2
Y 3 6
X 6 2
Y 4 6
X 3 1
Y 1 5
X 3 2
Y 3 6
X 6 2
Y 4 6
X 3 1
Y 1 5
X 3 2
Y 3 6
X 6 2
Y 4 6
X 3 1
Y 1 5
X 3 2
Y 3 6
X 6 2
Y 4 6
X 3 1
Y 3 6
X 6 2
Y 4 6
X 3 1
Y 1 5
X 3 2
Y 3 6
X 6 2
Y 4 6
X 3 1
Y 1 5
X 3 2
Y 3 6
X 6 2
Y 4 6
X 3 1
Y 1 5
X 3 2
Y 3 6
X 6 2
Y 4 6
X 3 1
Y 3 6
X 6 2
Y 4 6
X 3 1
Y 1 5
X 3 2
Y 3 6
X 6 2
Y 4 6
X 3 1
Y 1 5
X 3 2
Y 3 6
X 6 2
Y 4 6
X 3 1
Y 1 5
X 3 2
Y 3 6
X 6 2
X 3 2
Y 3 6
X 6 2
Y 4 6
X 3 1
Y 3 6
X 6 2
Y 4 6
X 3 1
Y 1 5
X 3 2
X 6 2
Y 4 6
X 3 1
Y 1 5
X 3 2
Y 3 6
X 6 2
Y 4 6
X 3 1
Y 1 5
X 3 2
Y 3 6
X 6 2
Y 4 6
X 3 1
Y 1 5
X 3 2
Y 3 6
X 6 2
Y 4 6
X 3 1
Y 1 5
X 3 2
Y 3 6
X 6 2
Y 4 6
X 3 1
Y 3 6
X 6 2
Y 4 6
X 3 1
Y 1 5
X 3 2
Y 3 6
X 6 2
Y 4 6
X 3 1
Y 1 5
X 3 2
Y 3 6
X 6 2
Y 4 6
X 3 1
Y 1 5
X 3 2
Y 3 6
X 6 2
Y 4 6
X 3 1
Y 3 6
X 6 2
Y 4 6
X 3 1
Y 1 5
X 3 2
Y 3 6
X 6 2
Y 4 6
X 3 1
Y 1 5
X 3 2
Y 3 6
X 6 2
Y 4 6
X 3 1
Y 1 5
X 3 2
Y 3 6


3
1
X 3 1
Y 1 6
4
3
X 4 3
5
6
Y 5 6
6
1
X 6 1
5
6
Y 5 6
2
5
Y 2 5
3
4
Y 3 4
2
1
X 2 1
